employee_key,occupational_group,occupational_category,time_status,medical_school
490PTN,Graduate Assistants,Graduate Assistants  other,Part-time,Non-medical School Employee
210FTU,"Instructional, research and public service staff","Instructional staff, total",Full-time,Unknown
210PTU,"Instructional, research and public service staff","Instructional staff, total",Part-time,Unknown
211FTU,"Instructional, research and public service staff","Instructional staff, primarily instruction",Full-time,Unknown
211PTU,"Instructional, research and public service staff","Instructional staff, primarily instruction",Part-time,Unknown
212FTU,"Instructional, research and public service staff","Instructional staff, primarily instruction, exclusively credit",Full-time,Unknown
212PTU,"Instructional, research and public service staff","Instructional staff, primarily instruction, exclusively credit",Part-time,Unknown
213FTU,"Instructional, research and public service staff","Instructional staff, primarily instruction, exclusively not-for-credit",Full-time,Unknown
213PTU,"Instructional, research and public service staff","Instructional staff, primarily instruction, exclusively not-for-credit",Part-time,Unknown
214FTU,"Instructional, research and public service staff","Instructional staff, primarily instruction, combined credit/not-for-credit",Full-time,Unknown
214PTU,"Instructional, research and public service staff","Instructional staff, primarily instruction, combined credit/not-for-credit",Part-time,Unknown
215FTU,"Instructional, research and public service staff",Instructional staff - Instruction/research/public service,Full-time,Unknown
215PTU,"Instructional, research and public service staff",Instructional staff - Instruction/research/public service,Part-time,Unknown
220FTU,"Instructional, research and public service staff",Research,Full-time,Unknown
220PTU,"Instructional, research and public service staff",Research,Part-time,Unknown
230FTU,"Instructional, research and public service staff",Public service,Full-time,Unknown
230PTU,"Instructional, research and public service staff",Public service,Part-time,Unknown
250FTU,"Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Education Services","Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Education Services",Full-time,Unknown
250PTU,"Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Education Services","Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Education Services",Part-time,Unknown
260FTU,"Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Education Services","Librarians, Curators, and Archivists",Full-time,Unknown
260PTU,"Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Education Services","Librarians, Curators, and Archivists",Part-time,Unknown
261FTU,"Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Education Services","Archivists, Curators, and Museum Technicians",Full-time,Unknown
261PTU,"Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Education Services","Archivists, Curators, and Museum Technicians",Part-time,Unknown
262FTU,"Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Education Services",Librarians,Full-time,Unknown
262PTU,"Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Education Services",Librarians,Part-time,Unknown
263FTU,"Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Education Services",Library Technicians,Full-time,Unknown
263PTU,"Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Education Services",Library Technicians,Part-time,Unknown
264FTU,"Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Education Services",Detailed library occupations not available for non-degree-granting institutions,Full-time,Unknown
264PTU,"Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Education Services",Detailed library occupations not available for non-degree-granting institutions,Part-time,Unknown
270FTU,"Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Education Services",Student and Academic Affairs and Other Education Services,Full-time,Unknown
270PTU,"Librarians/Library Technicians/Archivists and Curators, and Museum technicians/Student and Academic Affairs and Other Education Services",Student and Academic Affairs and Other Education Services,Part-time,Unknown
300FTU,Non-instructional Staff,Management,Full-time,Unknown
300PTU,Non-instructional Staff,Management,Part-time,Unknown
310FTU,Non-instructional Staff,Business and Financial Operations,Full-time,Unknown
310PTU,Non-instructional Staff,Business and Financial Operations,Part-time,Unknown
320FTU,Non-instructional Staff,"Computer, Engineering, and Science",Full-time,Unknown
320PTU,Non-instructional Staff,"Computer, Engineering, and Science",Part-time,Unknown
330FTU,Non-instructional Staff,"Community Service, Legal, Arts, and Media",Full-time,Unknown
330PTU,Non-instructional Staff,"Community Service, Legal, Arts, and Media",Part-time,Unknown
340FTU,Non-instructional Staff,Healthcare Practioners and Technical,Full-time,Unknown
340PTU,Non-instructional Staff,Healthcare Practioners and Technical,Part-time,Unknown
350FTU,Non-instructional Staff,Service Occupations,Full-time,Unknown
350PTU,Non-instructional Staff,Service Occupations,Part-time,Unknown
360FTU,Non-instructional Staff,Sales and Related Occupations,Full-time,Unknown
360PTU,Non-instructional Staff,Sales and Related Occupations,Part-time,Unknown
370FTU,Non-instructional Staff,Office and Administrative Support,Full-time,Unknown
370PTU,Non-instructional Staff,Office and Administrative Support,Part-time,Unknown
380FTU,Non-instructional Staff,"Natural Resources, Construction, and Maintenance",Full-time,Unknown
380PTU,Non-instructional Staff,"Natural Resources, Construction, and Maintenance",Part-time,Unknown
390FTU,Non-instructional Staff,"Production, Transportation, and Material Moving",Full-time,Unknown
390PTU,Non-instructional Staff,"Production, Transportation, and Material Moving",Part-time,Unknown
410PTU,Graduate Assistants,Graduate Assistants Teaching,Part-time,Unknown
420PTU,Graduate Assistants,Graduate Assistants Research,Part-time,Unknown
430PTU,Graduate Assistants,Graduate Assistants Management Occupations,Part-time,Unknown
440PTU,Graduate Assistants,Graduate Assistants Business and Financial Operations Occupations,Part-time,Unknown
450PTU,Graduate Assistants,"Graduate Assistants Computer, Engineering, and Science Occupations",Part-time,Unknown
460PTU,Graduate Assistants,"Graduate Assistants Community Service, Legal, Arts, and Media",Part-time,Unknown
470PTU,Graduate Assistants,Graduate Assistants Library and Instructional support,Part-time,Unknown
480PTU,Graduate Assistants,Graduate Assistants Healthcare Practioners and Technical,Part-time,Unknown
490PTU,Graduate Assistants,Graduate Assistants  other,Part-time,Unknown
