cipcode,cip6,cip6_description,cip4,cip4_description,cip2,cip2_description
03.0101,3.0101,"Natural Resources/Conservation, General.",3.01,Natural Resources Conservation and Research.,3,NATURAL RESOURCES AND CONSERVATION.
03.0103,3.0103,Environmental Studies.,3.01,Natural Resources Conservation and Research.,3,NATURAL RESOURCES AND CONSERVATION.
03.0104,3.0104,Environmental Science.,3.01,Natural Resources Conservation and Research.,3,NATURAL RESOURCES AND CONSERVATION.
03.0199,3.0199,"Natural Resources Conservation and Research, Other",3.01,Natural Resources Conservation and Research.,3,NATURAL RESOURCES AND CONSERVATION.
03.0201,3.0201,Natural Resources Management and Policy.,3.02,Natural Resources Management and Policy.,3,NATURAL RESOURCES AND CONSERVATION.
03.0204,3.0204,Natural Resource Economics.,3.02,Natural Resources Management and Policy.,3,NATURAL RESOURCES AND CONSERVATION.
03.0205,3.0205,"Water, Wetlands, and Marine Resources Management.",3.02,Natural Resources Management and Policy.,3,NATURAL RESOURCES AND CONSERVATION.
03.0206,3.0206,Land Use Planning and Management/Development.,3.02,Natural Resources Management and Policy.,3,NATURAL RESOURCES AND CONSERVATION.
03.0207,3.0207,Natural Resource Recreation and Tourism.,3.02,Natural Resources Management and Policy.,3,NATURAL RESOURCES AND CONSERVATION.
03.0208,3.0208,Natural Resources Law Enforcement and Protective S,3.02,Natural Resources Management and Policy.,3,NATURAL RESOURCES AND CONSERVATION.
03.0299,3.0299,"Natural Resources Management and Policy, Other.",3.02,Natural Resources Management and Policy.,3,NATURAL RESOURCES AND CONSERVATION.
03.0301,3.0301,Fishing and Fisheries Sciences and Management.,3.03,Fishing and Fisheries Sciences and Management.,3,NATURAL RESOURCES AND CONSERVATION.
03.0501,3.0501,"Forestry, General.",3.05,Forestry.,3,NATURAL RESOURCES AND CONSERVATION.
03.0502,3.0502,Forest Sciences and Biology.,3.05,Forestry.,3,NATURAL RESOURCES AND CONSERVATION.
03.0506,3.0506,Forest Management/Forest Resources Management.,3.05,Forestry.,3,NATURAL RESOURCES AND CONSERVATION.
03.0508,3.0508,Urban Forestry.,3.05,Forestry.,3,NATURAL RESOURCES AND CONSERVATION.
03.0509,3.0509,Wood Science and Wood Products/Pulp and Paper Tech,3.05,Forestry.,3,NATURAL RESOURCES AND CONSERVATION.
03.0510,3.051,Forest Resources Production and Management.,3.05,Forestry.,3,NATURAL RESOURCES AND CONSERVATION.
03.0511,3.0511,Forest Technology/Technician.,3.05,Forestry.,3,NATURAL RESOURCES AND CONSERVATION.
03.0599,3.0599,"Forestry, Other.",3.05,Forestry.,3,NATURAL RESOURCES AND CONSERVATION.
03.0601,3.0601,"Wildlife, Fish and Wildlands Science and Managemen",3.06,Wildlife and Wildlands Science and Management.,3,NATURAL RESOURCES AND CONSERVATION.
03.9999,3.9999,"Natural Resources and Conservation, Other.",3.99,"Natural Resources and Conservation, Other.",3,NATURAL RESOURCES AND CONSERVATION.
04.0201,4.0201,Architecture.,4.02,Architecture.,4,ARCHITECTURE AND RELATED SERVICES.
04.0301,4.0301,"City/Urban, Community and Regional Planning.",4.03,"City/Urban, Community and Regional Planning.",4,ARCHITECTURE AND RELATED SERVICES.
04.0401,4.0401,Environmental Design/Architecture.,4.04,Environmental Design.,4,ARCHITECTURE AND RELATED SERVICES.
04.0501,4.0501,Interior Architecture.,4.05,Interior Architecture.,4,ARCHITECTURE AND RELATED SERVICES.
04.0601,4.0601,Landscape Architecture.,4.06,Landscape Architecture.,4,ARCHITECTURE AND RELATED SERVICES.
04.0801,4.0801,"Architectural History and Criticism, General.",4.08,Architectural History and Criticism.,4,ARCHITECTURE AND RELATED SERVICES.
04.0901,4.0901,Architectural Technology/Technician.,4.09,Architectural Sciences and Technology.,4,ARCHITECTURE AND RELATED SERVICES.
04.0902,4.0902,Architectural and Building Sciences/Technology.,4.09,Architectural Sciences and Technology.,4,ARCHITECTURE AND RELATED SERVICES.
04.0999,4.0999,"Architectural Sciences and Technology, Other.",4.09,Architectural Sciences and Technology.,4,ARCHITECTURE AND RELATED SERVICES.
04.1001,4.1001,Real Estate Development.,4.1,Real Estate Development.,4,ARCHITECTURE AND RELATED SERVICES.
04.9999,4.9999,"Architecture and Related Services, Other.",4.99,"Architecture and Related Services, Other.",4,ARCHITECTURE AND RELATED SERVICES.
05.0101,5.0101,African Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0102,5.0102,American/United States Studies/Civilization.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0103,5.0103,Asian Studies/Civilization.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0104,5.0104,East Asian Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0105,5.0105,"Russian, Central European, East European and Euras",5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0106,5.0106,European Studies/Civilization.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0107,5.0107,Latin American Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0108,5.0108,Near and Middle Eastern Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0109,5.0109,Pacific Area/Pacific Rim Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0110,5.011,Russian Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0111,5.0111,Scandinavian Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0112,5.0112,South Asian Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0113,5.0113,Southeast Asian Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0114,5.0114,Western European Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0115,5.0115,Canadian Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0116,5.0116,Balkans Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0117,5.0117,Baltic Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0118,5.0118,Slavic Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0119,5.0119,Caribbean Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0120,5.012,Ural-Altaic and Central Asian Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0121,5.0121,Commonwealth Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0122,5.0122,"Regional Studies (U.S., Canadian, Foreign)",5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0123,5.0123,Chinese Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0124,5.0124,French Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0125,5.0125,German Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0126,5.0126,Italian Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0127,5.0127,Japanese Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0128,5.0128,Korean Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0129,5.0129,Polish Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0130,5.013,Spanish and Iberian Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0131,5.0131,Tibetan Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0132,5.0132,Ukraine Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0133,5.0133,Irish Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0134,5.0134,Latin American and Caribbean Studies.,5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0199,5.0199,"Area Studies, Other.",5.01,Area Studies.,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0200,5.02,Ethnic Studies.,5.02,"Ethnic, Cultural Minority, Gender, and Group Studi",5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0201,5.0201,African-American/Black Studies.,5.02,"Ethnic, Cultural Minority, Gender, and Group Studi",5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0202,5.0202,American Indian/Native American Studies.,5.02,"Ethnic, Cultural Minority, Gender, and Group Studi",5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0203,5.0203,"Hispanic-American, Puerto Rican, and Mexican-Ameri",5.02,"Ethnic, Cultural Minority, Gender, and Group Studi",5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0206,5.0206,Asian-American Studies.,5.02,"Ethnic, Cultural Minority, Gender, and Group Studi",5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0207,5.0207,Women's Studies.,5.02,"Ethnic, Cultural Minority, Gender, and Group Studi",5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0208,5.0208,Gay/Lesbian Studies.,5.02,"Ethnic, Cultural Minority, Gender, and Group Studi",5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0209,5.0209,Folklore Studies.,5.02,"Ethnic, Cultural Minority, Gender, and Group Studi",5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0210,5.021,Disability Studies.,5.02,"Ethnic, Cultural Minority, Gender, and Group Studi",5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0211,5.0211,Deaf Studies.,5.02,"Ethnic, Cultural Minority, Gender, and Group Studi",5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.0299,5.0299,"Ethnic, Cultural Minority, Gender, and Group Studi",5.02,"Ethnic, Cultural Minority, Gender, and Group Studi",5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
05.9999,5.9999,"Area, Ethnic, Cultural, and Gender Studies, Other.",5.99,"Area, Ethnic, Cultural, and Gender Studies, Other.",5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
09.0100,9.01,"Communication, General.",9.01,Communication and Media Studies.,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0101,9.0101,Speech Communication and Rhetoric.,9.01,Communication and Media Studies.,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0102,9.0102,Mass Communication/Media Studies.,9.01,Communication and Media Studies.,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0199,9.0199,"Communication and Media Studies, Other.",9.01,Communication and Media Studies.,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0401,9.0401,Journalism.,9.04,Journalism.,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0402,9.0402,Broadcast Journalism.,9.04,Journalism.,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0404,9.0404,Photojournalism.,9.04,Journalism.,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0499,9.0499,"Journalism, Other.",9.04,Journalism.,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0701,9.0701,Radio and Television.,9.07,"Radio, Television, and Digital Communication.",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0702,9.0702,Digital Communication and Media/Multimedia.,9.07,"Radio, Television, and Digital Communication.",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0799,9.0799,"Radio, Television, and Digital Communication, Othe",9.07,"Radio, Television, and Digital Communication.",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0900,9.09,"Public Relations, Advertising, and Applied Communi",9.09,"Public Relations, Advertising, and Applied Communi",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0901,9.0901,"Organizational Communication, General.",9.09,"Public Relations, Advertising, and Applied Communi",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0902,9.0902,Public Relations/Image Management.,9.09,"Public Relations, Advertising, and Applied Communi",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0903,9.0903,Advertising.,9.09,"Public Relations, Advertising, and Applied Communi",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0904,9.0904,Political Communication.,9.09,"Public Relations, Advertising, and Applied Communi",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0905,9.0905,Health Communication.,9.09,"Public Relations, Advertising, and Applied Communi",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0906,9.0906,Sports Communication.,9.09,"Public Relations, Advertising, and Applied Communi",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0907,9.0907,International and Intercultural Communication.,9.09,"Public Relations, Advertising, and Applied Communi",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0908,9.0908,Technical and Scientific Communication.,9.09,"Public Relations, Advertising, and Applied Communi",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.0999,9.0999,"Public Relations, Advertising, and Applied Communi",9.09,"Public Relations, Advertising, and Applied Communi",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.1001,9.1001,Publishing.,9.1,Publishing.,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
09.9999,9.9999,"Communication, Journalism, and Related Programs, O",9.99,"Communication, Journalism, and Related Programs, O",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
10.0105,10.0105,Communications Technology/Technician.,10.01,Communications Technology/Technician.,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPOR
10.0201,10.0201,Photographic and Film/Video Technology/Technician,10.02,Audiovisual Communications Technologies/Technician,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPOR
10.0202,10.0202,Radio and Television Broadcasting Technology/Techn,10.02,Audiovisual Communications Technologies/Technician,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPOR
10.0203,10.0203,Recording Arts Technology/Technician.,10.02,Audiovisual Communications Technologies/Technician,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPOR
10.0299,10.0299,Audiovisual Communications Technologies/Technician,10.02,Audiovisual Communications Technologies/Technician,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPOR
10.0301,10.0301,"Graphic Communications, General.",10.03,Graphic Communications.,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPOR
10.0302,10.0302,Printing Management.,10.03,Graphic Communications.,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPOR
10.0303,10.0303,Prepress/Desktop Publishing and Digital Imaging De,10.03,Graphic Communications.,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPOR
10.0304,10.0304,"Animation, Interactive Technology, Video Graphics",10.03,Graphic Communications.,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPOR
10.0305,10.0305,"Graphic and Printing Equipment Operator, General P",10.03,Graphic Communications.,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPOR
10.0306,10.0306,Platemaker/Imager.,10.03,Graphic Communications.,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPOR
10.0307,10.0307,Printing Press Operator.,10.03,Graphic Communications.,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPOR
10.0308,10.0308,Computer Typography and Composition Equipment Oper,10.03,Graphic Communications.,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPOR
10.0399,10.0399,"Graphic Communications, Other.",10.03,Graphic Communications.,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPOR
10.9999,10.9999,Communications Technologies/Technicians and Suppor,10.99,Communications Technologies/Technicians and Suppor,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPOR
11.0101,11.0101,"Computer and Information Sciences, General.",11.01,"Computer and Information Sciences, General.",11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERV
11.0102,11.0102,Artificial Intelligence.,11.01,"Computer and Information Sciences, General.",11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERV
11.0103,11.0103,Information Technology.,11.01,"Computer and Information Sciences, General.",11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERV
11.0104,11.0104,Informatics.,11.01,"Computer and Information Sciences, General.",11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERV
11.0199,11.0199,"Computer and Information Sciences,  Other.",11.01,"Computer and Information Sciences, General.",11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERV
11.0201,11.0201,"Computer Programming/Programmer, General.",11.02,Computer Programming.,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERV
